shesanth,0,12,52,52,80,80,80,80,81,81,81,87,92,99,99,99,99,99,99,75,115,112,118,118,118,118,121,121,122,165,165,165,168,168,173,149,149,148,148,142,149,
acerio,0,4,54,54,54,54,54,54,54,54,54,58,63,63,63,63,63,63,63,61,61,61,61,61,61,61,61,61,61,61,61,61,61,90,92,92,92,92,92,89,96,
tbartl,0,4,54,54,26,26,26,26,26,28,28,34,39,39,39,59,59,59,59,57,57,57,57,57,67,67,67,57,57,67,68,68,68,68,68,68,68,68,68,70,77,
sleepingbooty,0,27,32,32,32,32,32,32,32,32,32,38,43,43,43,43,43,43,43,41,41,41,41,41,41,41,41,38,38,38,38,38,38,38,38,38,38,48,48,50,57,
hkawoosa,0,-7,3,3,3,3,3,3,4,4,27,31,36,36,36,36,36,36,36,34,34,34,34,34,44,44,41,34,34,41,41,41,38,38,38,38,38,48,48,54,51,
seskanda,0,0,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,43,43,48,48,
dbraunst,0,0,0,0,0,0,0,0,0,39,39,40,5,5,5,45,45,45,45,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,48,48,
branden,0,0,-5,-5,-5,-5,-5,-5,-5,1,1,2,7,7,7,7,7,7,7,5,5,5,5,4,14,14,14,4,4,14,14,14,14,14,14,39,39,37,37,42,41,
cyan,0,0,20,20,20,20,20,25,27,27,27,29,34,34,34,34,34,34,34,32,32,35,29,29,29,29,29,29,29,29,29,29,29,0,-1,-1,-1,9,9,14,4,
